theta,model,initial,path,negative_endpoint,crossed_zero,committed_switch,crossing_return,unresolved_transition,first_switch_time,censored,endpoint_mz
0.11,RFM11_64,1,0,0,0,0,0,0,,1,0.6424719434976578
0.11,RFM11_64,1,1,0,0,0,0,0,,1,0.7488977846503257
0.11,RFM11_64,1,2,0,0,0,0,1,,1,0.5250013041496276
0.11,RFM11_64,1,3,0,0,0,0,1,,1,0.5314736574888229
0.11,RFM11_64,1,4,0,0,0,0,0,,1,0.7540903389453888
0.11,RFM11_64,1,5,0,1,0,1,1,,1,0.22137519627809524
0.11,RFM11_64,1,6,0,0,0,0,0,,1,0.7515950262546539
0.11,RFM11_64,1,7,0,1,0,1,1,,1,0.37500807404518127
0.11,RFM11_64,1,8,0,0,0,0,0,,1,0.8307503437995911
0.11,RFM11_64,1,9,0,0,0,0,1,,1,0.5419758635759354
0.11,RFM11_64,1,10,0,0,0,0,1,,1,0.5987820422649384
0.11,RFM11_64,1,11,0,0,0,0,0,,1,0.6230476415157318
0.11,RFM11_64,1,12,0,0,0,0,1,,1,0.37791836977005006
0.11,RFM11_64,1,13,0,1,0,1,0,,1,0.8738905906677246
0.11,RFM11_64,1,14,0,0,0,0,1,,1,0.12139056205749511
0.11,RFM11_64,1,15,0,1,0,1,1,,1,0.43587010383605956
0.11,RFM11_64,2,0,0,0,0,0,1,,1,0.47659622356295583
0.11,RFM11_64,2,1,0,0,0,0,1,,1,0.20961815476417542
0.11,RFM11_64,2,2,0,0,0,0,0,,1,0.6520795387029648
0.11,RFM11_64,2,3,0,1,0,1,1,,1,0.581110377162695
0.11,RFM11_64,2,4,0,0,0,0,1,,1,0.5797011524438858
0.11,RFM11_64,2,5,0,0,0,0,0,,1,0.6193570256233215
0.11,RFM11_64,2,6,0,0,0,0,1,,1,0.5175864058732986
0.11,RFM11_64,2,7,0,0,0,0,1,,1,0.48827416777610777
0.11,RFM11_64,2,8,0,0,0,0,1,,1,0.5388673633337021
0.11,RFM11_64,2,9,0,0,0,0,1,,1,0.5326554137468338
0.11,RFM11_64,2,10,0,0,0,0,1,,1,0.5207921469211578
0.11,RFM11_64,2,11,0,0,0,0,0,,1,0.6708960193395614
0.11,RFM11_64,2,12,0,0,0,0,1,,1,0.524063783288002
0.11,RFM11_64,2,13,0,0,0,0,1,,1,0.06447744995355606
